Time,Number of players,Total bets,Multiplier(Crash),Total gains,L
0:58,11167,5864326.08 LKR,10.99,15439765.77 LKR,2220956
0:58,11368,4717702.22 LKR,1.91,1270956.55 LKR,2220973
1:02,7076,6253287.43 LKR,15.88,18678642.63 LKR,2221087
1:09,6370,3934606.86 LKR,4.06,3657989.14 LKR,2221307
1:10,7739,4970184.88 LKR,10.38,15347777.45 LKR,2221322
1:10,7779,4426455.29 LKR,2.51,2331278.64 LKR,2221338
1:10,7356,4471103.41 LKR,2,764344.85 LKR,2221352
1:11,7181,4287524.29 LKR,1.7,602118.46 LKR,2221362
1:11,6960,3942975.1 LKR,1.08,0 LKR,2221375
1:11,6454,3955370.36 LKR,2.4,1374083.74 LKR,2221384
1:12,8221,4898518.32 LKR,1.74,607170.59 LKR,2221395
1:12,7461,5099009.42 LKR,1.48,518682.3 LKR,2221406
1:12,6678,4143197.43 LKR,1.23,315543.86 LKR,2221418
1:13,6184,2685656.44 LKR,1.68,492316.7 LKR,2221427
1:13,6554,2521250.83 LKR,1.45,366787.96 LKR,2221439
1:14,5887,2378677.67 LKR,19.37,8941227.79 LKR,2221449
1:14,7673,4284610.14 LKR,1.08,0 LKR,2221469
1:14,6118,4384712.29 LKR,5.19,4993596.61 LKR,2221477
1:15,7410,4517677.24 LKR,1.22,453435.02 LKR,2221490
1:15,6346,4386307.77 LKR,5.86,6276342.67 LKR,2221500
1:16,7193,4257695.24 LKR,3.09,2199277.14 LKR,2221515
1:16,7393,4561553.38 LKR,1.55,553544.63 LKR,2221528
1:16,6579,4080466.42 LKR,1.9,872641.87 LKR,2221536
1:17,7209,4463420.61 LKR,1.02,0 LKR,2221547
1:17,6691,4360864.7 LKR,1.29,522360.4 LKR,2221555
1:17,6159,3249944.1 LKR,8.28,7054795.6 LKR,2221567
1:18,7787,4905076.43 LKR,4.41,7129281.47 LKR,2221582
1:18,7416,3220004.71 LKR,1.11,112146.88 LKR,2221600
1:19,6285,2786955.51 LKR,1.2,153827.32 LKR,2221606
10:50,7284,4979867.21 LKR,1.21,73019 LKR,2238848
10:50,6587,4059257.88 LKR,1.78,911382.9 LKR,2238855
10:50,7300,4988612.18 LKR,1.4,65863.63 LKR,2238869
10:51,6582,4972179.25 LKR,1.68,468191.52 LKR,2238879
10:51,6576,4290669.12 LKR,1.03,0 LKR,2238890
10:51,6198,4119741.66 LKR,1.03,0 LKR,2238896
10:52,5629,4149058.94 LKR,1.46,157610.86 LKR,2238905
10:52,5372,3779333.89 LKR,1.38,148442.62 LKR,2238916
10:52,4882,3213781.37 LKR,4.81,6156509.03 LKR,2238926
10:53,6216,3239936.85 LKR,1.09,0 LKR,2238939
10:53,5269,2140878.43 LKR,1.32,40899.13 LKR,2238947
10:53,4806,2732715.28 LKR,1.68,147719.35 LKR,2238956
10:54,4996,2304281.16 LKR,2.44,755705.06 LKR,2238967
10:54,5689,2673959.8 LKR,1.07,0 LKR,2238979
10:54,4670,2498945.01 LKR,1.53,52970.51 LKR,2238985
10:55,4487,2178572.21 LKR,1.63,301167.4 LKR,2238996
10:55,4580,3224018.67 LKR,1.89,613136.84 LKR,2239007
10:55,4866,4049872.82 LKR,1.73,633185.76 LKR,2239017
10:56,4457,2055063.18 LKR,2.89,1817815.08 LKR,2239030
10:56,4911,2309761.56 LKR,1,0 LKR,2239041
10:57,4650,2143229.83 LKR,4.93,3852847.43 LKR,2239050
10:57,5159,2386350.46 LKR,1.78,445509.56 LKR,2239061
10:57,4542,2324826.87 LKR,6.53,5090710.78 LKR,2239070
10:58,5160,1905767.43 LKR,2.75,1951048.82 LKR,2239086
10:58,5072,1892028.89 LKR,1.09,8703.45 LKR,2239098
10:58,4430,1980491.82 LKR,1.4,105959.72 LKR,2239107
10:59,4502,1981859.34 LKR,1.16,41816.36 LKR,2239118
10:59,4042,2344994.41 LKR,13.18,6906646.59 LKR,2239126
11:00,5292,2213196.87 LKR,3.92,3367948.97 LKR,2239145
11:00,5155,2044799.36 LKR,3.06,1922292.37 LKR,2239159
11:01,5103,1866030.18 LKR,1.11,0 LKR,2239171
11:01,4435,1917512.39 LKR,5.1,4082492.64 LKR,2239182
11:02,5655,2492853.09 LKR,13.34,7963666.03 LKR,2239194
11:02,5541,2437845.86 LKR,1.09,0 LKR,2239216
11:02,4939,2267314.91 LKR,1.95,637591.02 LKR,2239224
11:03,5567,3214766.01 LKR,23.59,9285501.51 LKR,2239234
11:03,5853,2749934.3 LKR,3.13,3319729.88 LKR,2239256
11:04,5513,1912955.58 LKR,1.25,142119.21 LKR,2239268
11:04,4778,1541918.07 LKR,3.06,1545824.08 LKR,2239277
11:04,6269,2850733.73 LKR,1.49,175991.25 LKR,2239289
11:05,5926,2490580.65 LKR,19.6,10758892.6 LKR,2239301
11:06,6487,3180159.17 LKR,6.16,8088273.78 LKR,2239319
11:06,6005,3185875.05 LKR,2.16,736541.3 LKR,2239333
11:07,5421,2138872.38 LKR,7.73,5676085.31 LKR,2239342
11:07,6876,3321290.92 LKR,1.19,328714.95 LKR,2239360
11:07,6014,2742316.07 LKR,1.66,309158.34 LKR,2239368
11:08,6513,4092757.91 LKR,2.34,803885.05 LKR,2239379
11:08,7269,4937421.48 LKR,5.79,13144046.21 LKR,2239392
11:09,7489,2952684.7 LKR,3,2694718.89 LKR,2239403
11:09,6843,3307842.98 LKR,3.38,3522194 LKR,2239418
